"Year","ID","Lea.State","LEA","School","ID2","OSS_Hispanic","Cp_Hispanic","Expulsions_Hispanic","OSS_AIAN","Cp_AIAN","Expulsions_AIAN","OSS_Asian","Cp_Asian","Expulsions_Asian","OSS_HPI","Cp_HPI","Expulsions_HPI","OSS_Black","Cp_Black","Expulsions_Black","OSS_White","Cp_White","Expulsions_White","OSS_TwoOrMore","Cp_TwoOrMore","Expulsions_TwoOrMore","OSS_LEP","Cp_LEP","Expulsions_LEP","OSS_IDEA","Cp_IDEA","Expulsions_IDEA","leaid","crdc_id","ncessch","num_Total","num_Black","num_Hispanic","num_TwoOrMore","num_White","num_Asian"
2009,1002,"VA","MECKLENBURG CO PBLC SCHS","CHASE CITY ELEM.","01002_MECKLENBURG CO PBLC SCHS_VA_CHASE CITY ELEM.",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001002,510246001002,1010,562,12,NA,404,14
2009,1004,"VA","MECKLENBURG CO PBLC SCHS","CLARKSVILLE ELEM.","01004_MECKLENBURG CO PBLC SCHS_VA_CLARKSVILLE ELEM.",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001004,510246001004,948,416,10,NA,496,10
2009,1006,"VA","MECKLENBURG CO PBLC SCHS","LACROSSE ELEM.","01006_MECKLENBURG CO PBLC SCHS_VA_LACROSSE ELEM.",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001006,510246001006,682,230,46,NA,390,16
2009,1007,"VA","MECKLENBURG CO PBLC SCHS","PARK VIEW MIDDLE","01007_MECKLENBURG CO PBLC SCHS_VA_PARK VIEW MIDDLE",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001007,510246001007,1170,502,28,NA,620,10
2009,1008,"VA","MECKLENBURG CO PBLC SCHS","PARK VIEW HIGH","01008_MECKLENBURG CO PBLC SCHS_VA_PARK VIEW HIGH",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,55,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001008,510246001008,1534,642,40,NA,838,8
2009,1009,"VA","MECKLENBURG CO PBLC SCHS","SOUTH HILL ELEM.","01009_MECKLENBURG CO PBLC SCHS_VA_SOUTH HILL ELEM.",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5102460,510246001009,510246001009,1398,770,34,NA,570,20
2009,1013,"VA","MONTGOMERY CO PBLC SCHS","AUBURN HIGH","01013_MONTGOMERY CO PBLC SCHS_VA_AUBURN HIGH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,5102520,510252001013,510252001013,798,10,14,NA,768,2
2009,1014,"VA","MONTGOMERY CO PBLC SCHS","BELVIEW ELEM.","01014_MONTGOMERY CO PBLC SCHS_VA_BELVIEW ELEM.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5102520,510252001014,510252001014,530,22,8,NA,470,4
2009,1016,"VA","MONTGOMERY CO PBLC SCHS","BLACKSBURG HIGH","01016_MONTGOMERY CO PBLC SCHS_VA_BLACKSBURG HIGH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,5102520,510252001016,510252001016,2236,140,64,NA,1830,150
2009,1017,"VA","MONTGOMERY CO PBLC SCHS","BLACKSBURG MIDDLE","01017_MONTGOMERY CO PBLC SCHS_VA_BLACKSBURG MIDDLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5102520,510252001017,510252001017,1780,90,70,NA,1470,102
