date_of_count,year,type,count
2022-01-26T00:00:00Z,2022,unsheltered_total_persons,26
2022-01-26T00:00:00Z,2022,sheltered_total_persons,240
2022-01-26T00:00:00Z,2022,total_persons,266
2021-01-27T00:00:00Z,2021,unsheltered_total_persons,28
2021-01-27T00:00:00Z,2021,sheltered_total_persons,149
2021-01-27T00:00:00Z,2021,total_persons,177
2020-01-22T00:00:00Z,2020,unsheltered_total_persons,26
2020-01-22T00:00:00Z,2020,sheltered_total_persons,162
2020-01-22T00:00:00Z,2020,total_persons,188
2019-01-23T00:00:00Z,2019,unsheltered_total_persons,26
2019-01-23T00:00:00Z,2019,sheltered_total_persons,139
2019-01-23T00:00:00Z,2019,total_persons,165
2018-01-24T00:00:00Z,2018,unsheltered_total_persons,28
2018-01-24T00:00:00Z,2018,sheltered_total_persons,155
2018-01-24T00:00:00Z,2018,total_persons,183
2017-01-25T00:00:00Z,2017,unsheltered_total_persons,23
2017-01-25T00:00:00Z,2017,sheltered_total_persons,137
2017-01-25T00:00:00Z,2017,total_persons,160
2016-01-27T00:00:00Z,2016,unsheltered_total_persons,22
2016-01-27T00:00:00Z,2016,sheltered_total_persons,135
2016-01-27T00:00:00Z,2016,total_persons,157
2015-01-28T00:00:00Z,2015,unsheltered_total_persons,25
2015-01-28T00:00:00Z,2015,sheltered_total_persons,160
2015-01-28T00:00:00Z,2015,total_persons,185
2014-01-30T00:00:00Z,2014,unsheltered_total_persons,26
2014-01-30T00:00:00Z,2014,sheltered_total_persons,178
2014-01-30T00:00:00Z,2014,total_persons,204
2013-01-24T00:00:00Z,2013,unsheltered_total_persons,28
2013-01-24T00:00:00Z,2013,sheltered_total_persons,167
2013-01-24T00:00:00Z,2013,total_persons,195
2012-01-26T00:00:00Z,2012,unsheltered_total_persons,27
2012-01-26T00:00:00Z,2012,sheltered_total_persons,164
2012-01-26T00:00:00Z,2012,total_persons,191
2011-01-27T00:00:00Z,2011,unsheltered_total_persons,18
2011-01-27T00:00:00Z,2011,sheltered_total_persons,195
2011-01-27T00:00:00Z,2011,total_persons,213
2010-01-26T00:00:00Z,2010,unsheltered_total_persons,27
2010-01-26T00:00:00Z,2010,sheltered_total_persons,201
2010-01-26T00:00:00Z,2010,total_persons,228
2009-01-28T00:00:00Z,2009,unsheltered_total_persons,14
2009-01-28T00:00:00Z,2009,sheltered_total_persons,185
2009-01-28T00:00:00Z,2009,total_persons,199
