year,locality,mothers_late_no_prenatal,live_births,late_no_prenatal_to_birthrates
2006,Charlottesville,128,498,25.7
2006,Albemarle,211,1088,19.4
2006,Virginia,17142,"106,474",16.1
2007,Charlottesville,138,546,25.3
2007,Albemarle,249,1132,22
2007,Virginia,17997,108.417,16.6
2008,Charlottesville,156,597,26.1
2008,Albemarle,231,1129,20.5
2009,Virginia,16093,106578,15.1
2009,Charlottesville,147,571,25.7
2009,Albemarle,267,1082,24.7
2009,Virginia,15747,104979,15
2010,Charlottesville,16,548,2.9
2010,Albemarle,38,1094,3.5
2010,Virginia,4014,102933,3.9
2011,Charlottesville,11,499,2.2
2011,Albemarle,34,1059,3.2
2011,Virginia,3486,102525,3.4
2012,Charlottesville,27,575,4.7
2012,Albemarle,43,1053,4.1
2012,Virginia,3393,102811,3.3
2013,Charlottesville,24,612,3.92
2013,Albemarle,28,1064,2.62
2013,Virginia,2978,101976,2.92
2014,Charlottesville,24,625,3.84
2014,Albemarle,44,1032,4.26
2014,Virginia,2878,102795,2.8
2015,Charlottesville,15,576,2.6
2015,Albemarle,26,1049,2.48
2015,Virginia,3195,103072,3.1
2016,Charlottesville,25,558,4.48
2016,Albemarle,39,1150,3.39
2016,Virginia,3732,102243,3.65
2017,Charlottesville,27,586,4.61
2017,Albemarle,45,1054,4.27
2017,Virginia,4194,99621,4.21
2018,Charlottesville,,,5.62
2018,Albemarle,,,5.23
2018,Virginia,,,4.6
2019,Charlottesville,,,5.29
2019,Albemarle,,,4.58
2019,Virginia,,,5.04
2020,Charlottesville,27,557,4.85
2020,Albemarle,46,974,4.72
2020,Virginia,3851,94694,4.07
